date,sales
2025-01-01,105.59
2025-01-02,155.69
2025-01-03,113.7
2025-01-04,114.03
2025-01-05,113.9
2025-01-06,126.99
2025-01-07,117.31
2025-01-08,113.81
2025-01-09,129.43
2025-01-10,128.45
2025-01-11,103.96
2025-01-12,118.86
2025-01-13,143.96
2025-01-14,114.94
2025-01-15,94.69
2025-01-16,104.11
2025-01-17,88.69
2025-01-18,92.35
2025-01-19,75.2
2025-01-20,81.2
2025-01-21,80.94
2025-01-22,137.95
2025-01-23,94.38
2025-01-24,85.37
2025-01-25,84.71
2025-01-26,76.53
2025-01-27,76.55
2025-01-28,93.12
2025-01-29,96.79
2025-01-30,104.86
